,0
0,"Mining, Resources & Energy"
1,Retail & Consumer Products
2,"Manufacturing, Transport & Logistics"
3,Administration & Office Support
4,Construction
5,Banking & Financial Services
6,Healthcare & Medical
7,Trades & Services
8,Human Resources & Recruitment
9,Information & Communication Technology
10,Hospitality & Tourism
11,Sales
12,Government & Defence
13,Insurance & Superannuation
14,Community Services & Development
15,Engineering
16,Education & Training
17,Accounting
18,Marketing & Communications
19,Science & Technology
20,Legal
21,Call Centre & Customer Service
22,"Farming, Animals & Conservation"
23,Consulting & Strategy
24,Real Estate & Property
25,Sport & Recreation
26,Design & Architecture
27,"Advertising, Arts & Media"
28,CEO & General Management
29,Self Employment
