,0
0,Perth
1,Sydney
2,Bundaberg & Wide Bay Burnett
3,Melbourne
4,Sunshine Coast
5,Brisbane
6,ACT
7,Adelaide
8,Geelong & Great Ocean Road
9,Mackay & Coalfields
10,Central & South East
11,Darwin
12,Mildura & Murray
13,"Newcastle, Maitland & Hunter"
14,Far West & North Central NSW
15,Gosford & Central Coast
16,"Port Hedland, Karratha & Pilbara"
17,Ballarat & Central Highlands
18,Blue Mountains & Central West
19,Katherine & Northern Australia
20,"Wollongong, Illawarra & South Coast"
21,Gold Coast
22,Goulburn & Southern Tablelands
23,Hobart
24,Cairns & Far North
25,Richmond & Hawkesbury
26,Bunbury & South West
27,Toowoomba & Darling Downs
28,Dubbo & Central NSW
29,Broome & Kimberley
30,Gladstone & Central QLD
31,Mandurah & Peel
32,Traralgon & La Trobe Valley
33,Somerset & Lockyer
34,"Bendigo, Goldfields & Macedon Ranges"
35,Mt Gambier & Limestone Coast
36,Northam & Wheatbelt
37,Wagga Wagga & Riverina
38,Rockhampton & Capricorn Coast
39,"Geraldton, Gascoyne & Midwest"
40,Mornington Peninsula & Bass Coast
41,Launceston & North East
42,Lismore & Far North Coast
43,Shepparton & Goulburn Valley
44,Devonport & North West
45,Yarra Valley & High Country
46,Whyalla & Eyre Peninsula
47,Bairnsdale & Gippsland
48,Mt Isa & Western QLD
49,Townsville & Northern QLD
50,Coffs Harbour & North Coast
51,Alice Springs & Central Australia
52,"Kalgoorlie, Goldfields & Esperance"
53,Port Macquarie & Mid North Coast
54,Albury Wodonga & Murray
55,Yorke Peninsula & Clare Valley
56,Hervey Bay & Fraser Coast
57,Albany & Great Southern
58,Northern QLD
59,Hawkes Bay
60,Bay of Plenty
61,Tamworth & North West NSW
62,Wellington
63,Taranaki
64,Auckland
65,Northland
66,Otago
67,Waikato
68,Tasman
69,Canterbury
70,South West Coast VIC
71,Manawatu
72,Southern Highlands & Tablelands
73,"Tumut, Snowy & Monaro"
74,Marlborough
75,West Gippsland & Latrobe Valley
76,Southland
77,Western QLD
78,Adelaide Hills & Barossa
79,Gisborne
80,Albury Area
81,Horsham & Grampians
82,Riverland & Murray Mallee
83,West Coast
84,Fleurieu Peninsula & Kangaroo Island
85,Coober Pedy & Outback SA
86,Central & South East TAS
87,West Gippsland and Latrobe Valley
